Date,Stock_Price,Tabuk_Temperature
03/01/2021,22.9,26
04/01/2021,23.1,27
05/01/2021,22.9,27
06/01/2021,22.8,28
07/01/2021,22.8,28.4
10/01/2021,23.1,29
11/01/2021,24.4,29
12/01/2021,24.2,28
13/01/2021,24.4,27
14/01/2021,24.2,25.4
17/01/2021,24.9,22
18/01/2021,25,19.8
19/01/2021,24.8,20
20/01/2021,24.4,18
21/01/2021,24.7,17
24/01/2021,24.2,19
25/01/2021,24.4,20
26/01/2021,24.3,20
27/01/2021,24.1,20.2
28/01/2021,24.3,21
31/01/2021,24.7,23
01/02/2021,24.3,25
02/02/2021,24,26
03/02/2021,23.1,26.8
04/02/2021,23.4,27
07/02/2021,23.9,30
08/02/2021,25,30.2
09/02/2021,26.7,31
10/02/2021,25.8,32
11/02/2021,25.6,32
14/02/2021,26.8,29
15/02/2021,28.3,27.2
16/02/2021,31.2,27
17/02/2021,29.8,25
18/02/2021,29.9,24
21/02/2021,29.7,20
22/02/2021,31.1,17
23/02/2021,30.3,18
24/02/2021,28.3,17.6
25/02/2021,29.3,18
28/02/2021,29.5,21
01/03/2021,29,23
02/03/2021,28.4,23
03/03/2021,29.3,24
04/03/2021,29.3,24.2
07/03/2021,28.8,28
08/03/2021,27.6,27.6
09/03/2021,27.2,29
10/03/2021,25.8,29
11/03/2021,25.8,30.4
14/03/2021,26.2,32
15/03/2021,26.7,31.6
16/03/2021,26,32
17/03/2021,25.7,31
18/03/2021,25.8,30
21/03/2021,26.7,27
22/03/2021,26.3,25
23/03/2021,26.1,23.6
24/03/2021,26,24
25/03/2021,26,22
28/03/2021,26.5,20.5
29/03/2021,26.5,21
30/03/2021,26.7,22
31/03/2021,26.7,23.1
01/04/2021,26.6,23
04/04/2021,26.4,26.8
05/04/2021,26.3,27
06/04/2021,27.5,28
07/04/2021,27.5,29
08/04/2021,31.5,30.4
11/04/2021,31.5,33
12/04/2021,28.1,34.6
13/04/2021,28.2,35
14/04/2021,28,36
15/04/2021,28.1,36
18/04/2021,28,35
19/04/2021,28.5,34
20/04/2021,28.3,32.4
21/04/2021,28,32
22/04/2021,27.8,30
25/04/2021,27.6,25.2
26/04/2021,27.5,24
27/04/2021,27.4,23
28/04/2021,27.4,20.2
29/04/2021,27.2,20
02/05/2021,26.7,23
03/05/2021,26.2,23
04/05/2021,26.9,23
05/05/2021,26.5,24
06/05/2021,25.2,26.2
09/05/2021,25,29
10/05/2021,25,31.2
17/05/2021,27.5,39
18/05/2021,27,39.2
19/05/2021,26.8,39
20/05/2021,26.9,38
23/05/2021,27.5,35
24/05/2021,27.4,32
25/05/2021,28.7,28
26/05/2021,30.5,25
27/05/2021,31.1,24.8
30/05/2021,34.2,22.2
31/05/2021,37.6,22
01/06/2021,38,22
02/06/2021,38.7,22
03/06/2021,42.5,23
06/06/2021,44,24
07/06/2021,42.3,25.4
08/06/2021,41.2,25
09/06/2021,42.2,29
10/06/2021,41.2,31
13/06/2021,40.8,33
14/06/2021,39.7,34
15/06/2021,40,36
16/06/2021,40,36
17/06/2021,39.5,37
20/06/2021,39.2,37.8
21/06/2021,39.5,36
22/06/2021,39.5,35
23/06/2021,39.3,33.1
24/06/2021,39.2,33
27/06/2021,39.2,26
28/06/2021,41,25.7
29/06/2021,40.7,24
30/06/2021,40,24
01/07/2021,39.6,24
04/07/2021,39.3,25
05/07/2021,40.3,25.8
06/07/2021,40.8,26
07/07/2021,40.3,26
08/07/2021,39.6,28
11/07/2021,39.7,30
12/07/2021,39.9,30
13/07/2021,39.5,32
14/07/2021,39.6,32
15/07/2021,39.6,33
25/07/2021,40,37
26/07/2021,39.8,35
27/07/2021,39.5,32
28/07/2021,39.6,27.4
29/07/2021,41.1,27
01/08/2021,41.9,21
02/08/2021,40.8,21
03/08/2021,40.5,22
04/08/2021,39.8,23
05/08/2021,40.2,23
08/08/2021,40.2,25
09/08/2021,39.8,27
10/08/2021,40.3,26.9
11/08/2021,39.9,29
12/08/2021,39.5,30
15/08/2021,39.5,33
16/08/2021,39.6,34
17/08/2021,38.8,36
18/08/2021,37.5,36.2
19/08/2021,37,37
22/08/2021,35.8,37
23/08/2021,36,38
24/08/2021,36,37
25/08/2021,35.6,37.2
26/08/2021,35.3,37
29/08/2021,35.8,34
30/08/2021,39,30
31/08/2021,38.3,27.6
01/09/2021,38.1,28
02/09/2021,38.2,24
05/09/2021,38.3,23
06/09/2021,38.5,25
07/09/2021,39.9,25.4
08/09/2021,39.3,25
09/09/2021,40.7,26
12/09/2021,41.3,27
13/09/2021,40.7,26.8
14/09/2021,41,27
15/09/2021,41.1,29
16/09/2021,41,31
19/09/2021,40.3,31
20/09/2021,39.1,32
21/09/2021,41.3,32
22/09/2021,40.7,34
26/09/2021,40.2,34
27/09/2021,39.8,35
28/09/2021,39.9,36
29/09/2021,40,36.4
30/09/2021,40.1,36
03/10/2021,39.8,38
04/10/2021,39.3,37.6
05/10/2021,38.8,37
06/10/2021,38.3,36
07/10/2021,38.6,22
10/10/2021,37.5,22.2
11/10/2021,37.5,22
12/10/2021,37.3,23
13/10/2021,38.3,22
14/10/2021,38.2,21.2
17/10/2021,38,21
18/10/2021,38.6,21
19/10/2021,38.2,21
20/10/2021,37.6,17.8
21/10/2021,37.2,18
24/10/2021,37.3,15
25/10/2021,37.1,14
